searchSpecies,lat_max,lat_min,lat_range,n,dd
Schinus terebinthifolia,-34.72152,-41.138557,6.4170370000000005,130,3.0393729412100248
Schoenoplectus californicus,-35.933333,-37.383333,1.4500000000000028,26,2.5790502194279776
Sedum acre,-36.9,-46.918823,10.018823000000005,848,1.9979154572941848
Senecio elegans,-34.429946,-46.660799,12.230852999999996,1466,1.072003199563906
Senecio glastifolius,-37.766667,-45.874167,8.107500000000002,1025,1.2001011482500266
Senecio skirrhodon,-34.814734,-45.925825,11.111091000000002,1403,1.0473072332125686
Senna septemtrionalis,-34.773889,-43.640109,8.866220000000006,103,1.2414056744337745
Setaria palmifolia,-34.87462,-44.406232,9.531612000000003,272,3.0289535752915535
Setaria pumila,-35.1024422,-43.897947,8.795504800000003,191,2.0658025812989433
Silybum marianum,-34.494258,-46.233738,11.73948,406,2.104373999780682
Solanum dulcamara,-34.427838,-46.661944,12.234105999999997,886,1.8682790725475635
Solanum linnaeanum,-34.408877,-41.069753,6.660876000000002,283,2.5853683608673657
Solanum marginatum,-36.128889,-45.327289,9.1984,62,3.0767128416742087
Solanum mauritianum,-34.471369,-43.93779,9.466420999999997,1859,3.391116085474279
Solanum pseudocapsicum,-35.149928,-43.7267,8.576771999999998,523,2.7099978843327266
Sorbus aucuparia,-38.134747,-46.584961,8.450214000000003,739,3.002125900776949
Spartium junceum,-36.825578,-45.874799,9.049221000000003,138,2.9484155747626635
Spiraea japonica,-36.348167,-43.606558,7.258391000000003,55,0.7490900825520701
Sporobolus anglicus,-35.083333,-46.891131,11.807797999999998,114,0.5647015450576304
Stenotaphrum secundatum,-34.424818,-43.758355,9.333537,321,2.6405684081883134
Syzygium australe,-34.994494,-43.530379,8.535885,79,3.3041025113400333
Syzygium smithii,-35,-41.334776,6.334775999999998,330,3.3028110107995867
Thinopyrum obtusiflorum,-41.519194,-41.521352,0.0021580000000014365,5,2.8897459426813255
Thunbergia alata,-34.966921,-39.994916,5.027995000000004,214,0.38640494858897434
Toxicodendron succedaneum,-35.2182,-39.672,4.453799999999994,80,2.9890505724555076
Trachycarpus fortunei,-35.002522,-45.53978,10.537258000000001,434,2.8816864836728415
Tropaeolum majus,-34.823301,-46.382695,11.559393999999998,1207,1.80361609121973
Tropaeolum speciosum,-38.429554,-46.908889,8.479334999999999,667,2.0643851687018255
Tussilago farfara,-42.732719,-43.443414,0.7106949999999941,26,1.0324948335973156
Ugni molinae,-36.123167,-46.90875,10.785582999999995,59,3.485978854810031
Ulex europaeus,-34.396389,-47.049444,12.653055000000002,8075,2.9561407385340015
Utricularia gibba,-34.476819,-43.583333,9.106514000000004,576,2.3409131506370517
Verbascum thapsus,-34.447433,-46.45424,12.006807000000002,1854,2.4258205393354006
Vitis vinifera,-34.466667,-46.5627,12.096032999999998,146,1.82490416324488
Zantedeschia aethiopica,-34.699285,-46.907865,12.208579999999998,1704,2.0801163284379927
Zizania latifolia,-35.880707,-40.850838,4.970131000000002,40,2.9446673290635017
