model_number,species,order,family,ds,log10mdd_family,log10mdd_order,log10mdd,log10mdd_best,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID
2,Pinus halepensis,Pinales,Pinaceae,wind.special,2.529457769321086,2.244216274231923,2.262220868135323,2.529457769321086,NA,tree,18,"NZ Flora Online: bank, clay, cliff, coast, dry, open, rock outcrop, sand, scrubland, slope, stone",NA,cone,dry,winged seed,0.021,wind,NA,NA,NA,NA,NA,Wyse & Hulme 2021,seed is dispersed by wind (Wyse & Hulme 2021; NZPCN),Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016),NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus monticola,Pinales,Pinaceae,wind.special,2.651119656960317,2.3658781618711546,2.4418516731734963,2.651119656960317,NA,tree,35,NA,NA,cone,dry,winged seed,0.02041,wind,NA,NA,NA,NA,NA,Ledgard 2002,"plants have spread out for up to 5 km from the source, seeds fairly heavy but cones are well positioned for dispersal hanging from tips of branches outside the canopy (Ledgard 2002)","wind dispersed, diaspore has wings (SID)",NA,NA,NA,NA,2023-10-02T00:00:00Z
2,Pinus mugo,Pinales,Pinaceae,wind.special,2.4439741850022116,2.158732689913049,1.9714383718644202,2.4439741850022116,shrub-tree,shrub,8,NA,NA,cone,dry,winged seed,0.013699999999999999,wind,attachment,NA,NA,NA,NA,"Müller-Schneider 1986, cited in Camarero et al. 2005; Farmer 1997, cited in SID; Wyse & Hulme 2021",wind dispersed (Wyse & Hulme 2021; NZPCN),"Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997, cited in Kew SID); Diaspore=seed; the diaspore has wings or wing-like features. Secondary seed dispersal by birds (Müller-Schneider 1986, cited in Camarero et al. 2005). Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016).",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus mugo,Pinales,Pinaceae,animal,3.617423175877078,3.332181680787915,2.993058550442159,3.617423175877078,shrub-tree,shrub,8,NA,NA,cone,dry,winged seed,0.013699999999999999,wind,attachment,NA,NA,NA,NA,"Müller-Schneider 1986, cited in Camarero et al. 2005; Farmer 1997, cited in SID; Wyse & Hulme 2021",wind dispersed (Wyse & Hulme 2021; NZPCN),"Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997, cited in Kew SID); Diaspore=seed; the diaspore has wings or wing-like features. Secondary seed dispersal by birds (Müller-Schneider 1986, cited in Camarero et al. 2005). Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016).",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus muricata,Pinales,Pinaceae,wind.special,2.6134269428875614,2.3281854477983988,2.380885553167433,2.6134269428875614,NA,tree,22,"NZ Flora Online:  bank, coast, hill, open, pasture, roadside, sand, shrubland, slope, track",NA,cone,dry,winged seed,0.013,wind,NA,NA,NA,NA,NA,"Ridley 1930, cited in SID; Wyse & Hulme 2021",dispersed by wind (Wyse & Hulme 2021; NZPCN),"Seed is blown by wind (Ridley 1930, cited in KEW SID) and has wings or wing-like features (Kew Seed Information Database); Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016)",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus nigra,Pinales,Pinaceae,wind.special,2.693318367487074,2.408076872397912,2.502159033113497,2.693318367487074,NA,tree,40,"NZ Flora Online: alpine, clay, dry, gully, hill, lake margin, margin, open, ridge, roadside, rock outcrop, sand, shaded, sheltered, shrubland, slope, stone, terrace, track; NZPCN: Mainly shrubland and grassland",NA,cone,dry,winged seed,0.017,wind,NA,NA,NA,NA,NA,"Timmins & Mackenzie 1995; Atkinson 1997; Farmer 1997, cited in SID; Wyse & Hulme 2021",NA,"P. nigra subsp. nigra: Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997, cited in SID); Diaspore=seed. The diaspore has wings or wing-like features; Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016)",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus patula,Pinales,Pinaceae,wind.special,2.678430451228208,2.393188956139046,2.477893813185533,2.678430451228208,NA,tree,33,"NZ Flora Online: bank, roadside",NA,cone,dry,winged seed,0.014,wind,NA,NA,NA,NA,NA,Cronk & Fuller 1995; Wyse & Hulme 2021,wind dispersed (Wyse & Hulme 2021; NZPCN),wind dispersed (Cronk & Fuller 1995); Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016),NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus pinaster,Pinales,Pinaceae,wind.special,2.5773558870564113,2.2921143919672486,2.342379110776612,2.5773558870564113,NA,tree,37,"NZ Flora Online: bank, cliff, coast, dry, fernland, hill, margin, open, ridge, roadside, rock outcrop, sand, shrubland, slope, stone, terrace, wasteland; NZPCN: A plant of coastal and lowland habitats (Timmins & MacKenzie 1995). The plant grows in sites of low fertility (Timmins & MacKenzie 1995). A plant of shrubland, tussockland, cliff, bluff and coastal communities (Timmins & MacKenzie 1995).",NA,cone,dry,winged seed,0.047,wind,NA,NA,NA,NA,NA,Timmins & Mackenzie 1995; Cronk & Fuller 1995; Atkinson 1997; Wyse & Hulme 2021,wind dispersed (Wyse & Hulme 2021),wind dispersed (Cronk & Fuller 1995); Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016),NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus ponderosa,Pinales,Pinaceae,wind.special,2.673280590566752,2.38803909547759,2.4821133799257438,2.673280590566752,NA,tree,57,"NZ Flora Online: gravel, margin, montane, open, pasture, ridge, roadside, rock outcrop, scrubland, sheltered, shrubland, slope, terrace",NA,cone,dry,winged seed,0.039,wind,NA,NA,NA,NA,NA,"Farmer 1997, cited in SID; Wyse & Hulme 2021",wind dispersed (Wyse & Hulme 2021; NZPCN),"Seed is blown by wind (Farmer 1997, cited in KEW SID) and has wings or wing-like features (Kew Seed Information Database); Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016)",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus radiata,Pinales,Pinaceae,wind.special,2.6468820266063497,2.3616405315171876,2.4407794178147992,2.6468820266063497,NA,tree,44,"NZ Flora Online: alpine, bank, clay, coast, dry, fernland, hill, lowland, margin, open, pasture, ridge, roadside, rock outcrop, sand, shrubland, slope, stone, terrace, track, tussockland, wasteland; NZPCN: A plant of coastal and lowland habitats (Timmins & MacKenzie 1995). A plant of low fertility sites (Timmins & MacKenzie 1995). The plant occurs in scrub and forest margin, shrubland, short tussockland, sand dunes, cliffs and bluff communities (Timmins & MacKenzie 1995).",NA,cone,dry,winged seed,0.032,wind,NA,NA,NA,NA,NA,"Timmins & Mackenzie 1995; Cronk & Fuller 1995; Atkinson 1997; Farmer 1997, cited in SID; Wyse & Hulme 2021",wind dispersed (Wyse & Hulme 2021),"small, light, winged seeds easily dispersed long distances by wind (Cronk & Fuller 1995 and refs therein); Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997); Diaspore=seed. The diaspore has wings or wing-like features; Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016)",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus strobus,Pinales,Pinaceae,wind.special,2.733184499092723,2.4479430040035606,2.561128294479838,2.733184499092723,NA,tree,50,"NZ Flora Online: bank, pasture, roadside, shrubland",NA,cone,dry,winged seed,0.017,wind,NA,NA,NA,NA,NA,"Farmer 1997, cited in SID; NZPCN",wind dispersed (NZPCN),"Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997, cited in Kew SID); Diaspore=seed. The diaspore has wings or wing-like features; Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016)",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus sylvestris,Pinales,Pinaceae,wind.special,2.763444095050457,2.478202599961295,2.593854758773902,2.763444095050457,NA,tree,33,"NZ Flora Online: bank, grassland, open, pasture, roadside, slope, terrace",NA,cone,dry,winged seed,0.006,wind,attachment,NA,NA,NA,NA,"Farmer 1997, cited in SID; Albert et al. 2015; Wyse & Hulme 2021",wind dispersed (Wyse & Hulme 2021; NZPCN),"Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997, cited in Kew SID); Diaspore=seed. The diaspore has wings or wing-like features. Seeds dispersed by deer attached to fur (sometimes; Albert et al. 2015); Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016)",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus sylvestris,Pinales,Pinaceae,animal,3.936893085925324,3.6516515908361615,3.6154749373516406,3.936893085925324,NA,tree,33,"NZ Flora Online: bank, grassland, open, pasture, roadside, slope, terrace",NA,cone,dry,winged seed,0.006,wind,attachment,NA,NA,NA,NA,"Farmer 1997, cited in SID; Albert et al. 2015; Wyse & Hulme 2021",wind dispersed (Wyse & Hulme 2021; NZPCN),"Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997, cited in Kew SID); Diaspore=seed. The diaspore has wings or wing-like features. Seeds dispersed by deer attached to fur (sometimes; Albert et al. 2015); Pinus sp. dispersed by water birds via ectozoochory (Reynolds & Cumming 2016)",NA,NA,2022-06-08T00:00:00Z,45056,2022-06-22T00:00:00Z
2,Pinus thunbergii,Pinales,Pinaceae,wind.special,2.538792927244099,2.253551432154937,2.271203353754125,2.538792927244099,NA,tree,15,NA,NA,cone,dry,winged seed,0.01383,wind,NA,NA,NA,NA,NA,NA,NA,NA,dispersal based on seed morphology,NA,NA,NA,2023-10-02T00:00:00Z
2,Pinus uncinata,Pinales,Pinaceae,wind.special,2.3981968748717977,2.1129553797826355,2.0568245756612544,2.3981968748717977,NA,tree,5,NA,NA,cone,dry,winged seed,0.007940000000000001,wind,NA,NA,NA,NA,mean 27.2 m estimated from models (Camarero et al. 2005),Camarero et al. 2005,NA,"small, winged seeds primarily dispersed by wind (Camarero et al. 2005)",NA,NA,2022-06-08T00:00:00Z,NA,2022-06-22T00:00:00Z
2,Pseudotsuga menziesii,Pinales,Pinaceae,wind.special,2.812209562529981,2.526968067440819,2.6726715781452968,2.812209562529981,NA,tree,60,"NZ Flora Online: bank, clay, dry, gravel, gully, hill, margin, roadside, sand, shaded, sheltered, slope, stone, terrace, track; NZPCN: A plant of lowland, montane and subalpine habitats growing in sites with low-moderate fertility (Timmins & MacKenzie 1995). A plant of scrub and forest margin communities, shrublands, tussockland and light wells in forest (Timmins & MacKenzie 1995).",NA,cone,dry,winged seed,0.0107,wind,NA,NA,NA,NA,NA,"Timmins & Mackenzie 1995; Farmer 1997, cited in SID",Seed is dispersed in autumn and winter by wind and gravity and remains viable for a few weeks to many years (NZPCN).,"P. menziesii subsp. menziesii: Wind; Diaspore is blown by wind; Direct or experimental observation; (Young & Young, 1992, Farmer, 1997, cited in Kew SID); Diaspore=seed. The diaspore has wings or wing-like features.",NA,NA,2022-06-08T00:00:00Z,45057,2022-06-22T00:00:00Z
2,Pittosporum undulatum,Apiales,Pittosporaceae,animal,NA,3.1580530847366775,3.3436475452474834,3.1580530847366775,NA,tree,14,"Webb et al. 1988: roadside scrub. NZ Flora Online: bank, roadside",NA,capsule,fleshy,sticky seeds,0.00835,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Mullet 2002,likely dispersed by birds (Webb et al. 1988),"dispersed by a wide range of bird species, brushtailed possums and rats in Australia (Mullett 2002)",NA,NA,2022-06-08T00:00:00Z,NA,2023-06-20T00:00:00Z
2,Digitalis purpurea,Lamiales,Plantaginaceae,wind.none,0.3124827685962272,0.21628197391367904,0.3920802734868857,0.3124827685962272,NA,herb,2.5,NA,NA,capsule,dry,none,8e-5,wind.none,internal,attachment,NA,NA,NA,"Ridley 1930, cited in SID; Couvreur et al. 2004; Albert et al. 2015",NA,"1. Wind; Diaspore is propelled by action of wind on the plant structure; Direct or experimental observation; (Ridley, 1930); Diaspore=seed. 2. Wind; Diaspore is blown by wind; Method not stated; (Bouman et al., 2000); seeds dispersed internally by deer (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle fur, wind-dispersed (small seeds shed from capsule above surrounding vegetation)(Couvreur et al. 2004)",NA,NA,2022-06-07T00:00:00Z,NA,2022-06-21T00:00:00Z
2,Digitalis purpurea,Lamiales,Plantaginaceae,animal,2.7603897060020084,2.66418891131946,2.7815342846613698,2.7603897060020084,NA,herb,2.5,NA,NA,capsule,dry,none,8e-5,wind.none,internal,attachment,NA,NA,NA,"Ridley 1930, cited in SID; Couvreur et al. 2004; Albert et al. 2015",NA,"1. Wind; Diaspore is propelled by action of wind on the plant structure; Direct or experimental observation; (Ridley, 1930); Diaspore=seed. 2. Wind; Diaspore is blown by wind; Method not stated; (Bouman et al., 2000); seeds dispersed internally by deer (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle fur, wind-dispersed (small seeds shed from capsule above surrounding vegetation)(Couvreur et al. 2004)",NA,NA,2022-06-07T00:00:00Z,NA,2022-06-21T00:00:00Z
2,Agrostis capillaris,Poales,Poaceae,animal,3.2056949033565627,2.74963672704816,2.548222490515309,3.2056949033565627,grass,herb,1,"NZ Flora Online:  alpine, bank, clay, cliff, coast, dry, flat , forest, forest edge, gap, grassland, gravel, hill, lake margin, log, lowland, margin, open, pasture, peat, ridge, roadside, rock outcrop, scree, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland ; NZPCN: scrub and forest margin, both short and tall tussocklands, herbfields, fernlands, sanddunes and river beds",riparian,caryopsis,dry,none,7.5e-5,attachment,internal,wind.none,water,NA,NA,Timmins & Mackenzie 1995; Couvreur et al. 2004; Mouissie et al. 2005; Albert et al. 2015,"Seed dispersed by wind, water, humans and vertebrates (Timmins & Mackenzie 1995).","seeds attached to real sheep fleece in considerable numbers, also attached to both sheep and cattle experimental dummies (Mouissie et al. 2005); Seeds dispersed by deer internally and attached to hooves (Albert et al. 2015); seeds dispersed attached to cattle, donkey and horse fur (Couvreur et al. 2004).",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z
2,Agrostis capillaris,Poales,Poaceae,wind.none,0.7577879659507814,0.3017297896423789,0.1587684793408246,0.7577879659507814,grass,herb,1,"NZ Flora Online:  alpine, bank, clay, cliff, coast, dry, flat , forest, forest edge, gap, grassland, gravel, hill, lake margin, log, lowland, margin, open, pasture, peat, ridge, roadside, rock outcrop, scree, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland ; NZPCN: scrub and forest margin, both short and tall tussocklands, herbfields, fernlands, sanddunes and river beds",riparian,caryopsis,dry,none,7.5e-5,attachment,internal,wind.none,water,NA,NA,Timmins & Mackenzie 1995; Couvreur et al. 2004; Mouissie et al. 2005; Albert et al. 2015,"Seed dispersed by wind, water, humans and vertebrates (Timmins & Mackenzie 1995).","seeds attached to real sheep fleece in considerable numbers, also attached to both sheep and cattle experimental dummies (Mouissie et al. 2005); Seeds dispersed by deer internally and attached to hooves (Albert et al. 2015); seeds dispersed attached to cattle, donkey and horse fur (Couvreur et al. 2004).",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z
2,Bromus tectorum,Poales,Poaceae,animal,2.795704995123011,2.3396468188146082,1.98439423013642,2.795704995123011,grass,herb,0.8,"NZ Flora Online: bank, coast, dry, grassland, gravel, hill, loam, lowland, montane, open, pasture, ridge, roadside, rock outcrop, sand, slope, terrace, track, wasteland",NA,caryopsis,dry,long awns,0.003,attachment,wind.none,internal,NA,NA,NA,Cronk & Fuller 1995; Eichberg et al. 2007; Albert et al. 2015;,Bromus hordaceaous has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg). B. fonkii and B. willdenowii have no structures directly aiding active seed dispersal and large seeds >10 mg (Esler 1988).,"Animal; Diaspore is carried accidentally; Method not stated; (Rutledge & McLendon, sine anno), Mammals (non-bat) Rutledge, C.R. and T. McLendon. sine anno. An Assessment of Exotic Plant Species of Rocky Mountain National Park. Department of Rangeland Ecosystem Science, Colorado State University. Online. Available: http://www.npwrc.usgs.gov/resource/plants/explant/index.htm). 29/10/07; Also dispersed by wind (Kew SID). wind dispersed (Cronk & Fuller 1995); seeds are dispersed in deer fur (always; Albert et al. 2015); seeds germinated from sheep faeces (Eichberg et al. 2007)",NA,NA,2022-06-03T00:00:00Z,NA,2022-06-19T00:00:00Z
2,Bromus tectorum,Poales,Poaceae,wind.none,0.3477980577172296,-0.10826011859117285,-0.4050597810380646,0.3477980577172296,grass,herb,0.8,"NZ Flora Online: bank, coast, dry, grassland, gravel, hill, loam, lowland, montane, open, pasture, ridge, roadside, rock outcrop, sand, slope, terrace, track, wasteland",NA,caryopsis,dry,long awns,0.003,attachment,wind.none,internal,NA,NA,NA,Cronk & Fuller 1995; Eichberg et al. 2007; Albert et al. 2015;,Bromus hordaceaous has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg). B. fonkii and B. willdenowii have no structures directly aiding active seed dispersal and large seeds >10 mg (Esler 1988).,"Animal; Diaspore is carried accidentally; Method not stated; (Rutledge & McLendon, sine anno), Mammals (non-bat) Rutledge, C.R. and T. McLendon. sine anno. An Assessment of Exotic Plant Species of Rocky Mountain National Park. Department of Rangeland Ecosystem Science, Colorado State University. Online. Available: http://www.npwrc.usgs.gov/resource/plants/explant/index.htm). 29/10/07; Also dispersed by wind (Kew SID). wind dispersed (Cronk & Fuller 1995); seeds are dispersed in deer fur (always; Albert et al. 2015); seeds germinated from sheep faeces (Eichberg et al. 2007)",NA,NA,2022-06-03T00:00:00Z,NA,2022-06-19T00:00:00Z
2,Cenchrus setaceus,Poales,Poaceae,wind.special,1.7227160616787134,1.266657885370311,1.1043950923295225,1.7227160616787134,grass,herb,1,NA,NA,caryopsis,dry,"feathery bristles, plume of hairs on propagule",0.00164,wind,water,attachment,NA,NA,NA,NZPCN; Toon et al. 2018,"Spikelets with bristles disperse in late spring with wind, water, human activities, and by clinging to animals (NZPCN)","plume of hairs extending from base of propagule, which probably facilitate dispersal by wind (Toon et al. 2018)",NA,NA,2022-06-03T00:00:00Z,45035,NA
2,Cenchrus setaceus,Poales,Poaceae,animal,2.89616505255358,2.4401068762451774,2.1260152709072613,2.89616505255358,grass,herb,1,NA,NA,caryopsis,dry,"feathery bristles, plume of hairs on propagule",0.00164,wind,water,attachment,NA,NA,NA,NZPCN; Toon et al. 2018,"Spikelets with bristles disperse in late spring with wind, water, human activities, and by clinging to animals (NZPCN)","plume of hairs extending from base of propagule, which probably facilitate dispersal by wind (Toon et al. 2018)",NA,NA,2022-06-03T00:00:00Z,45035,NA
2,Cynodon dactylon,Poales,Poaceae,animal,2.9427655217970594,2.486707345488657,2.175319379711244,2.9427655217970594,grass,herb,0.5,"NZ Flora Online:  bank, cliff, coast, dry, gravel, lake margin, lava, margin, moist, open, pasture, roadside, rock outcrop, sand, sheltered, wasteland",NA,caryopsis,dry,none,3e-4,internal,wind.none,bird nesting material,NA,NA,NA,Dean et al. 1990; McIntyre et al. 1995; Eichberg et al. 2007; Albert et al. 2015,no structures directly aiding active seed dispersal. Small seeds (0.1-1.0 mg) (Esler 1988),"Wind; Diaspore is blown by wind; Assumption based upon diaspore morphology; (McIntyre et al., 1995, cited in Kew SID). Unassisted; Seeds drop to the ground close to or beneath the parent plant; Assumption based upon diaspore morphology; (Jurado et al., 1991, cited in Kew SID); seeds dispersed internally by deer (sometimes; Albert et al. 2015); seeds germinated from sheep faeces (Eichberg et al. 2007); wind-dispersed (McIntyre et al. 1995). seeds dispersed by birds in nesting material (Dean et al. 1990)",bird nesting material,NA,2022-06-03T00:00:00Z,NA,2022-06-20T00:00:00Z
2,Cynodon dactylon,Poales,Poaceae,wind.none,0.4948585843912781,0.03880040808287566,-0.2141346314632405,0.4948585843912781,grass,herb,0.5,"NZ Flora Online:  bank, cliff, coast, dry, gravel, lake margin, lava, margin, moist, open, pasture, roadside, rock outcrop, sand, sheltered, wasteland",NA,caryopsis,dry,none,3e-4,internal,wind.none,bird nesting material,NA,NA,NA,Dean et al. 1990; McIntyre et al. 1995; Eichberg et al. 2007; Albert et al. 2015,no structures directly aiding active seed dispersal. Small seeds (0.1-1.0 mg) (Esler 1988),"Wind; Diaspore is blown by wind; Assumption based upon diaspore morphology; (McIntyre et al., 1995, cited in Kew SID). Unassisted; Seeds drop to the ground close to or beneath the parent plant; Assumption based upon diaspore morphology; (Jurado et al., 1991, cited in Kew SID); seeds dispersed internally by deer (sometimes; Albert et al. 2015); seeds germinated from sheep faeces (Eichberg et al. 2007); wind-dispersed (McIntyre et al. 1995). seeds dispersed by birds in nesting material (Dean et al. 1990)",bird nesting material,NA,2022-06-03T00:00:00Z,NA,2022-06-20T00:00:00Z
2,Dactylis glomerata,Poales,Poaceae,wind.none,0.5516091693309702,0.09555099302256764,-0.11871413696361262,0.5516091693309702,grass,herb,1.2,"NZ Flora Online: alpine, bank, clay, cliff, coast, dry, grassland, gravel, hill, margin, montane, open, pasture, ridge, roadside, rock outcrop, sand, sheltered, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland; NZPCN: A plant of coastal, lowland, montane and subalpine habitats (Timmins & MacKenzie 1995). Plant grows in scrub and forest margin, shrubland, tussockland, herbfields, fernland, sand dune hollows and riverbeds (Timmins & MacKenzie 1995).",riparian,caryopsis,dry,none,8.100000000000001e-4,wind.none,water,internal,attachment,NA,NA,Esler 1988; Timmins & Mackenzie 1995; Couvreur et al. 2004; Bartuszevige & Endress 2008; Albert et al. 2015,"no structures directly aiding active seed dispersal. Small seeds (0.1-1.0 mg) (Esler 1988); seed dispersal by wind, water, humans, vertebrates (Timmins & Mackenzie 1995).","seeds dispersed by deer internally (sometimes) and attached to fur and hooves (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle and donkey fur, unspecialised dispersal (Couvreur et al. 2004). Viable seed dispersed in cattle faeces (Bartuszevige & Endress 2008); undefined seed dispersal morphology (McIntyre et al. 1995)",NA,NA,2022-06-07T00:00:00Z,45037,2022-06-21T00:00:00Z
2,Dactylis glomerata,Poales,Poaceae,animal,2.9995161067367513,2.5434579304283487,2.2707398742108715,2.9995161067367513,grass,herb,1.2,"NZ Flora Online: alpine, bank, clay, cliff, coast, dry, grassland, gravel, hill, margin, montane, open, pasture, ridge, roadside, rock outcrop, sand, sheltered, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland; NZPCN: A plant of coastal, lowland, montane and subalpine habitats (Timmins & MacKenzie 1995). Plant grows in scrub and forest margin, shrubland, tussockland, herbfields, fernland, sand dune hollows and riverbeds (Timmins & MacKenzie 1995).",riparian,caryopsis,dry,none,8.100000000000001e-4,wind.none,water,internal,attachment,NA,NA,Esler 1988; Timmins & Mackenzie 1995; Couvreur et al. 2004; Bartuszevige & Endress 2008; Albert et al. 2015,"no structures directly aiding active seed dispersal. Small seeds (0.1-1.0 mg) (Esler 1988); seed dispersal by wind, water, humans, vertebrates (Timmins & Mackenzie 1995).","seeds dispersed by deer internally (sometimes) and attached to fur and hooves (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle and donkey fur, unspecialised dispersal (Couvreur et al. 2004). Viable seed dispersed in cattle faeces (Bartuszevige & Endress 2008); undefined seed dispersal morphology (McIntyre et al. 1995)",NA,NA,2022-06-07T00:00:00Z,45037,2022-06-21T00:00:00Z
2,Ehrharta erecta,Poales,Poaceae,wind.none,0.47485440803571355,0.018796231727311097,-0.2317514288311623,0.47485440803571355,grass,herb,0.8,"NZ Flora Online: bank, clay, cliff, coast, dry, forest, forest edge, grassland, gravel, gully, hill, lowland, margin, moist, open, pasture, ridge, roadside, rock outcrop, sand, scrubland, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, tree, wasteland; NZPCN: A plant of coastal and lowland habitats (Timmins & MacKenzie 1995). Plant grows in sites of low fertility (Timmins & MacKenzie 1995). A plant of sand dunes, cliffs and bluff communities (Timmins & MacKenzie 1995).",NA,caryopsis,dry,NA,8.456000000000001e-4,wind.none,water,attachment,bird nesting material,NA,NA,Dean et al. 1990; Timmins & McKenzie 1995,"seed dispersal by wind, water and birds (Timmins & McKenzie 1995).","seeds dispersed by birds as nesting material (Dean et al. 1990). E. stipoides dispersed by animals via attachment, awned fruits easily dispersed on animal fur",bird nesting material,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z
2,Ehrharta erecta,Poales,Poaceae,animal,2.9227613454414945,2.466703169133092,2.1577025823433216,2.9227613454414945,grass,herb,0.8,"NZ Flora Online: bank, clay, cliff, coast, dry, forest, forest edge, grassland, gravel, gully, hill, lowland, margin, moist, open, pasture, ridge, roadside, rock outcrop, sand, scrubland, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, tree, wasteland; NZPCN: A plant of coastal and lowland habitats (Timmins & MacKenzie 1995). Plant grows in sites of low fertility (Timmins & MacKenzie 1995). A plant of sand dunes, cliffs and bluff communities (Timmins & MacKenzie 1995).",NA,caryopsis,dry,NA,8.456000000000001e-4,wind.none,water,attachment,bird nesting material,NA,NA,Dean et al. 1990; Timmins & McKenzie 1995,"seed dispersal by wind, water and birds (Timmins & McKenzie 1995).","seeds dispersed by birds as nesting material (Dean et al. 1990). E. stipoides dispersed by animals via attachment, awned fruits easily dispersed on animal fur",bird nesting material,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z
2,Eragrostis curvula,Poales,Poaceae,wind.none,0.595654013646794,0.1395958373383916,-0.06972460782279977,0.595654013646794,grass,herb,0.7,"NZ Flora Online: bank, dry, grassland, hill, pasture, roadside, sand, slope, wasteland; NZPCN: Dry steep sites, short and tall tussock grassland, coastal areas, riverbeds, cliffs, herbfields.",riparian,caryopsis,dry,none,2e-4,wind.none,NA,NA,NA,NA,NA,"NZPCN website, accessed 13 April 2023",Can be dispersed short distances by wind,"Undefined seed dispersal morphology (McIntyre et al. 1995); E. australasica: Unassisted; Seeds drop to the ground close to or beneath the parent plant; Assumption based upon diaspore morphology; (Jurado et al., 1991, cited in Kew SID)",NA,NA,2022-06-07T00:00:00Z,45029,2022-06-21T00:00:00Z
2,Festuca rubra,Poales,Poaceae,animal,2.7935785622046945,2.337520385896292,1.9696566722562445,2.7935785622046945,grass,herb,0.45,"NZ Flora Online:  alpine, bank, cliff, coast, dry, flat , forest, forest edge, grassland, gravel, gully, hill, lake margin, loam, lowland, margin, moist, montane, open, pasture, peat, ridge, riparian, river terrace, riverbed, roadside, rock outcrop, sand, scree, scrubland, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland",riparian,caryopsis,dry,awn,0.0011,attachment,internal,NA,NA,NA,NA,Couvreur et al. 2004; Mouissie et al. 2005; Albert et al. 2015,Festuca arundinacea has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988).,"seeds attached to real sheep fleece in considerable numbers, also attached to both sheep and cattle experimental dummies (Mouissie et al. 2005); seeds are dispersed internally by deer (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle and donkey fur, animal-dispersed with awn (Couvreur et al. 2004)",NA,NA,2022-06-07T00:00:00Z,NA,2022-06-21T00:00:00Z
