authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Genista monspessulana (L.) L.A.S.Johnson,Genista monspessulana,Teline monspessulana; Cytisus monspessulanus,soft broom,seed set rare,NA,shrub,2.5,NA,NA,pod,dry,"explosively dehiscent pod, none",0.0073,NA,NA,NA,NA,NA,NA,NA,NA,Webb et al. 1988,explosively dehiscent (Webb et al. 1988); has no structures directly aiding active dispersal and large seeds >10 mg (Esler 1988).,NA,NA,rare,2022-06-07T00:00:00Z,NA,2022-06-21T00:00:00Z,0,0,NA
Glaucium flavum Crantz,Glaucium flavum,NA,horned poppy,NA,NA,herb,0.3,coastal,NA,capsule,dry,explosively dehiscent capsule,9.599999999999999e-4,ballistic,NA,ballistic,wind.none,water,NA,NA,NA,Solas et al. 2004,NA,"The capsules are erect and dehisce from the top, indicating ballistic dispersal; sometimes the entire stem detaches from the rosette, possibly dispersing the seeds as windblown tumble weeds. Seed dispersal is generally ballistic with fairly restricted local dispersal; diaspore buoyancy and post-buoyancy germination are much more limited than for other beach plants; infructescences may be dispersed as tumbleweeds by wind (Solas et al. 2004).",NA,NA,2022-06-07T00:00:00Z,NA,2022-06-21T00:00:00Z,3,1,2
Glyceria declinata Bréb.,Glyceria declinata,NA,blue sweet grass,emergent aquatic,grass,herb,NA,"NZ Flora Online: bank, clay, coast, forest, gravel, gully, hill, lake margin, lowland, margin, moist, montane, open, pasture, peat, riparian, riverbed, roadside, sand, shaded, silt, slope, stone, terrace, track, tussockland, wasteland, wetland; NZPCN: Aquatic in drains and other slow flowing water bodies. Damp ground in swamps and pastures, drains and river banks.",riparian,caryopsis,aquatic,none,0.00128,unspecialised,NA,internal,water,NA,NA,NA,NA,Simpson 1971; Almeida et al. 2022; NZPCN,seeds found in mallard crop (Simpson 1971); NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA): Seed and vegetative fragment spread by water movement. Seed is produced but is probably not viable for more than one season.,seeds ingested by waterfowl (Almeida et al. 2022).,dispersal based on morphology,NA,2022-06-07T00:00:00Z,45040,2023-04-24T00:00:00Z,2,1,2
Glyceria fluitans (L.) R.Br.,Glyceria fluitans,NA,floating sweet grass,emergent aquatic,grass,herb,NA,"NZ Flora Online: bank, coast, lake margin, margin, moist, open, pasture, peat, roadside, sand, silt, slope, wetland; NZPCN: Aquatic in drains and other slow flowing waterbodies. Damp ground in swamps and pastures, drains and river banks.",riparian,caryopsis,aquatic,none,0.0014299999999999998,unspecialised,NA,water,attachment,internal,NA,NA,NA,Carroll 1966; Marchant & Higgins 1990b; Couvreur et al. 2004; Albert et al. 2015; Almeida et al. 2022; NZPCN,"Seed and stem fragments spread within catchment via water flow. Contaminated diggers, livestock, soil movement, dumped vegetation, eel nets boats and trailers all spread seed and rhizomes into new catchments (NZPCN factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)). Seeds ingested by pukeko (Carroll 1966; Marchant & Higgins 1990b).","epichorous, mucilage adhesion (Rosenthal 2006); seeds dispersed internally by deer (Albert et al. 2015). Seeds dispersed attached to cattle fur (Couvreur et al. 2004).  seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-07T00:00:00Z,NA,2023-04-24T00:00:00Z,3,1,3
Glyceria maxima (Hartm.) Holmb.,Glyceria maxima,NA,reed sweet grass,emergent aquatic,grass,herb,NA,NA,NA,caryopsis,aquatic,buoyant seed,9.5e-4,water,NA,water,internal,NA,NA,NA,NA,Carroll 1966; van den Broek et al. 2005; Almeida et al. 2022,seeds in pukeko gizzards (Carroll 1966),experiments show seeds are moderately buoyant (van den Broek et al. 2005); hydrochorous? (Rosenthal 2006).  seeds ingested by waterfowl (Almeida et al. 2022).,NA,NA,2022-06-07T00:00:00Z,NA,2023-04-24T00:00:00Z,2,1,1
Gunnera tinctoria (Molina) Mirb.,Gunnera tinctoria,NA,Chilean rhubarb,Lvs to  c. 2.5 m high,NA,herb,2.5,"NZ Flora Online: bank, clay, cliff, coast, gap, gorge, gravel, hill, lowland, margin, moist, open, pasture, ridge, riparian, roadside, rock outcrop, sand, shaded, sheltered, shrubland, silt, slope, stone, terrace, unstable/eroded, wasteland. NZPCN: Margins of wetlands, damp cliffs and banks, often in light shade.",riparian,drupe,fleshy,fleshy,7.8e-4,internal,NA,internal,NA,NA,NA,NA,NA,Williams et al. 2005,blackbird & white-eye (Zosterops lateralis) have been observed eating the fruit.,NA,NA,NA,2022-06-07T00:00:00Z,NA,2023-06-16T00:00:00Z,1,1,0
Gymnocoronis spilanthoides DC.,Gymnocoronis spilanthoides,NA,Senegal tea,"not in flora (see: NZPCN and Webb et al. 1995); aquatic plant, either forming a rounded bush or a tangled mass of vegetation along waterways",NA,herb,1,"NZPCN: Aquatic: Emergent. The plant grows in wet marshy soils and at water margins, Plant grows in wetland communities in still or flowing water.",riparian,achene,aquatic,none,NA,unspecialised,NA,water,attachment,NA,NA,NA,NA,Panetta 2009; NZPCN,"Seed, stems and root fragments are dispersed in water, on livestock hooves and machinery. Can also be spread by dumped aquaria contents when liberating fish (NZPCN factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).","Spread via seed dispersal, while occurring, may be less important than that gained through vegetative fragmentation, since seeds do not bear a pappus and most drop near the parent plant (Panetta 2009).",NA,NA,2022-06-07T00:00:00Z,45040,NA,2,1,2
Hakea gibbosa (Sm.) Cav.,Hakea gibbosa,NA,downy hakea,wing extending down both margins of seed (Webb et al. 1988),NA,shrub,NA,"NZ Flora Online: bank, dry, hill, open, ridge, roadside, track; NZPCN: A coastal and lowland plant. Plant grows in low fertility sites. The plant is found in scrub and forest margin, shrubland and gumlands (Timmins & MacKenzie 1995).",NA,capsule,dry,winged seed,0.044899999999999995,wind,NA,wind,NA,NA,NA,NA,NA,Esler 1988; Timmins & Mackenzie 1995; Cronk & Fuller 1995; Atkinson 1997,NA,wind dispersed (Cronk & Fuller 1995),NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,1,1,0
Hakea salicifolia (Vent.) B.L.Burtt,Hakea salicifolia,NA,willow-leaved hakea,large shrub or small tree,NA,tree,NA,"NZ Flora Online:  bank, clay, gully, hill, lowland, open, pasture, peat, ridge, roadside, slope, terrace, track; NZPCN: A coastal and lowland plant (Timmins & MacKenzie 1995). The plant is found at sites with low fertility (Timmins & MacKenzie 1995). A plant confined to very poor soils (Timmins & MacKenzie 1995). The plant is found in low forest, scrub and forest margin, shrubland and fernlands (Timmins & MacKenzie 1995).",NA,capsule,dry,winged seed,0.0202,wind,NA,wind,NA,NA,NA,NA,NA,Esler 1988; Timmins & Mackenzie 1995; Atkinson 1997,NA,NA,NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,1,1,0
Hakea sericea Schrad. & J.C.Wendl.,Hakea sericea,NA,needlebush; prickly hakea,large shrub or small tree,NA,tree,NA,"NZ Flora Online:  bank, coast, hill, lava, open, pasture, roadside, rock outcrop, scree, shrubland, silt; NZPCN: A coastal and lowland plant (Timmins & MacKenzie 1995). The plant grows in low fertility sites (Timmins & MacKenzie 1995). A plant of low forest, scrub and forest margin and shrubland (Timmins & MacKenzie 1995).",NA,capsule,dry,winged seed,0.0317,wind,NA,wind,NA,NA,NA,NA,NA,Esler 1988; Timmins & Mackenzie 1995; Atkinson 1997,Wind dispersed (Esler 1988).,NA,NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,1,1,0
Hedera canariensis Willd.,Hedera canariensis,Hedera helix subsp. canariensis,Canary ivy,climber,vine,shrub,NA,NA,NA,berry-like,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,NA,NA,NA,dispersal based on morphology,NA,2022-06-08T00:00:00Z,NA,NA,1,1,0
Hedera helix L.,Hedera helix,NA,ivy,Snow & Snow report 1-5 seeds/fruit and fruit type is berry.,vine,shrub,NA,"NZ Flora Online: bank, clay, cliff, coast, dry, forest, forest edge, grassland, hill, lowland, margin, open, pasture, roadside, rock outcrop, sand, shrubland, slope, stone, terrace, wasteland. NZPCN: Forest understorey, shrubland, rocky cliffs, open areas where there is some support for its scrambling habit. Flora: waste places, riverbeds and stream banks, cliffs",riparian,berry-like,fleshy,fleshy,0.019719999999999998,internal,NA,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Esler 1988; Fromont & King 1992; Burrows 1995; Atkinson 1997,Fruit dispersed by birds (Fromont & King 1992; Burrows 1995; Atkinson 1997); Has succulent fruits which are dispersed by birds quite effectively (Esler 1988).,"fruits eaten by primarily by blackbird, also song thrush & starling (Snow & Snow 1988).",NA,NA,2022-06-08T00:00:00Z,45093,2023-06-16T00:00:00Z,1,1,0
Hedychium flavescens Carey ex Rosc.,Hedychium flavescens,NA,wild ginger,NA,NA,NA,NA,NA,NA,capsule,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-08T00:00:00Z,NA,NA,0,0,NA
Hedychium gardnerianum Sheph. ex Ker Gawl.,Hedychium gardnerianum,NA,wild ginger,Stems to 2 m high,NA,herb,2,"NZ Flora Online: bank, clay, dry, forest edge, gorge, gully, lowland, open, ridge, roadside, sand, shaded, sheltered, slope, stone, terrace, track, unstable/eroded, wasteland. NZPCN: Forests, regenerating forest, streamside and alluvial forest, forest light gaps and gullies. Prefers moderate to high fertility, not found in very dry or rocky areas.",riparian,aril,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,Esler 1988; Fromont & King 1992; Timmins & Mackenzie 1995,"Dispersed by birds, especially blackbirds, possibly tui and mynas (Fromont & King 1992); the arillate seed is carried in the gut of fruit-eating birds (Esler 1988).",NA,NA,NA,2022-06-08T00:00:00Z,45096,NA,1,1,0
Helichrysum petiolare Hilliard & B.L.Burtt,Helichrysum petiolare,NA,liquorice plant,not in Flora,NA,herb,NA,"NZPCN: sand dunes, the margins of peat bogs, on yellow-brown and yellow-grey earths, cliff faces, and in urban situations. Once established very competitive, even in indigenous shrubland",NA,achene,dry,pappus,NA,wind,NA,wind,NA,NA,NA,NA,NA,NA,NA,"other Helichrysum spp. assumed to be dispersed by wind based on morphology: H. apiculatum (Jurado et al. 1991, cited in Kew SID), H. scorpioides (McIntyre et al. 1995, cited in Kew SID)",dispersal based on morphology,NA,2022-06-08T00:00:00Z,45043,2023-04-27T00:00:00Z,1,1,0
Helosciadium nodiflorum (L.) W.D.J.Koch,Helosciadium nodiflorum,Apium nodiflorum,water celery,sprawling emergent aquatic perennial that can grow over a metre high,NA,herb,1,"NZPCN: Shallow water ponds, drains, and the margins of slow moving streams",riparian,NA,dry,none,8.6e-4,unspecialised,NA,internal,NA,NA,NA,NA,NA,Zidon et al. 2016,NA,"seed germinated from Persian fallow deer faeces (Zidon et al. 2016, as Apium nodiflorum)",dispersal based on morphology,NA,NA,45198,2023-09-29T00:00:00Z,1,1,1
Hieracium levicaule Jord. (GBIF Taxon key: 3135110),Hieracium levicaule,Hieracium lepidulum,tussock hawkweed,flowering stems up to 75 cm tall,NA,herb,0.75,"NZ Flora Online: alpine, bank, cliff, dry, forest, forest edge, grassland, gravel, gully, hill, loam, margin, moist, montane, open, pasture, ridge, riparian, river terrace, riverbed, roadside, rock outcrop, sand, scree, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland; NZPCN: Grassland, roadsides, riverbanks, riverbeds and gold tailings, beech forest, scrub, pine forest",riparian,achene,dry,pappus,NA,wind,NA,wind,water,NA,NA,NA,NA,Miller et al. 2015; French 2021,Water dispersal along creeks may be important (Miller et al 2015),seed dispersed by wind (French 2021),NA,NA,2022-06-08T00:00:00Z,45043,NA,2,1,1
Holcus lanatus L.,Holcus lanatus,NA,Yorkshire fog,NA,grass,herb,1.1,"NZ Flora Online:  alpine, bank, clay, coast, dry, forest, forest edge, grassland, gravel, lowland, margin, moist, open, pasture, peat, riverbed, roadside, rock outcrop, sand, shrubland, silt, slope, track, tussockland, wasteland; NZPCN: A wide range of disturbed wet and dry sites, often in fens",riparian,caryopsis,dry,"hairs, buoyant seeds",3e-4,unspecialised,NA,attachment,internal,water,wind.none,bird nesting material,NA,Carroll 1966; Welch 1985; Esler 1988; McIntyre et al. 1995; Couvreur et al. 2004; van den Broek et al. 2005; Mouissie et al. 2005; Morris et al. 2011; Albert et al. 2015; Warren et al. 2017; Flaherty et al. 2018; Almeida et al. 2022; SID,no structures directly aiding active seed dispersal. Small seeds (0.1-1.0 mg) (Esler 1988). Seeds recorded in pukeko gizzards (Carroll 1966).,"Wind; Diaspore is blown by wind; Method not stated; (Ridley, 1930); Also dispersed by animals; Diaspore=caryopsis+glume; The diaspore is hairy or has hair-like processes; Hairs also serve to attach the diaspore to the fur of animals. Experiments show that seeds are moderately buoyant (van den Broek et al. 2005).  seeds are dispersed by deer internally (sometimes) and attached to fur and hooves (sometimes; Albert et al. 2015). Seeds attached to experimental sheep dummy but not to cattle dummy (Mouissie et al. 2005). Seeds germinated from white-tailed deer faeces (Flaherty et al. 2018); Seeds dispersed attached to cattle, donkey and horse fur, unspecialised (Couvreur et al. 2004); undefined seed dispersal morphology (McIntyre et al. 1995); seeds germinated from cattle dung (Welch 1985). seeds caught in seed trap (Morris et al. 2011).  seeds ingested by waterfowl (Almeida et al. 2022). Dispersed in bird nesting material (Warren et al. 2017).",NA,NA,2022-06-08T00:00:00Z,45043,2022-06-21T00:00:00Z,5,1,5
